Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Polystichum aculeatum,NBNSYS0000002074,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Polystichum lonchitis,NBNSYS0000002077,The Wildlife (Northern Ireland) Order 1985,Schedule 8 - Part 1,W(NI)O-Sch8_part1
Polystichum lonchitis,NBNSYS0000002077,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Polystichum lonchitis,NBNSYS0000002077,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Polystichum lonchitis,NBNSYS0000002077,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Polystichum lonchitis,NBNSYS0000002077,Red listing based on 2001 IUCN guidelines,Endangered,RedList_ENG_post2001-EN
Polystichum lonchitis,NBNSYS0000002077,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Polystichum lonchitis,NBNSYS0000002077,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Polystichum lonchitis,NBNSYS0000002077,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Polystichum setiferum,NHMSYS0000461949,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Polystichum setiferum,NHMSYS0000461949,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Pteridium aquilinum,NBNSYS0000002031,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Pteridium aquilinum,NBNSYS0000002031,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Thelypteris palustris,NBNSYS0000002081,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Thelypteris palustris,NBNSYS0000002081,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Thelypteris palustris,NBNSYS0000002081,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Thelypteris palustris,NBNSYS0000002081,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Trichomanes speciosum,NBNSYS0000002028,Wildlife and Countryside Act 1981,Schedule 8,WACA-Sch8
Trichomanes speciosum,NBNSYS0000002028,Bern Convention,Appendix 1,Bern-A1
Trichomanes speciosum,NBNSYS0000002028,Habitats Directive,Annex 2 - non-priority species,HabDir-A2*
Trichomanes speciosum,NBNSYS0000002028,Habitats Directive,Annex 4,HabDir-A4
Trichomanes speciosum,NBNSYS0000002028,"The Conservation (Nature Habitats, etc.) Regulations (NI) 1995",Schedule 4,ConsRegsNI-Sch4
Trichomanes speciosum,NBNSYS0000002028,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Trichomanes speciosum,NBNSYS0000002028,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Trichomanes speciosum,NBNSYS0000002028,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Trichomanes speciosum,NBNSYS0000002028,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Trichomanes speciosum,NBNSYS0000002028,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
