Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Allium schoenoprasum,NBNSYS0000002199,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Allium scorodoprasum,NBNSYS0000002194,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Allium scorodoprasum,NBNSYS0000002194,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Allium sphaerocephalon,NBNSYS0000002195,Wildlife and Countryside Act 1981,Schedule 8,WACA-Sch8
Allium sphaerocephalon,NBNSYS0000002195,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Allium sphaerocephalon,NBNSYS0000002195,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Allium sphaerocephalon,NBNSYS0000002195,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_ENG_post2001-VU
Allium ursinum,NBNSYS0000002205,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Allium ursinum,NBNSYS0000002205,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Allium vineale,NBNSYS0000002196,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Allium vineale,NBNSYS0000002196,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alnus glutinosa,NHMSYS0000455771,Global Red list status,Lower risk - least concern,RedList_Global_post2001_LC
Alnus glutinosa,NHMSYS0000455771,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alnus glutinosa,NHMSYS0000455771,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alopecurus aequalis,NBNSYS0000002659,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alopecurus aequalis,NBNSYS0000002659,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alopecurus borealis,NBNSYS0000002662,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
